date,station_id,station_name,region_name,province_name,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,temp_range,rain_3d,rain_7d,rain_change_1d,wind_change_1d,ddd_x_sin,ddd_x_cos,day_of_year_sin,day_of_year_cos,station_96855,missing_RR,missing_ff_x,missing_ff_avg,missing_RH_avg,anomaly_score,status
2018-05-21,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,30.8,25.7,88.0,2.2,6.4,3.0,1.0,7.800000000000001,2.2,9.8,2.2,0.0,-0.984807753012208,-0.1736481776669303,0.6564105761979381,-0.7544038410927472,0,0,0,0,0,0.868305,NORMAL
2018-05-22,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.6,27.1,79.0,4.4,3.6,6.0,2.0,9.6,6.6000000000000005,14.2,2.2,3.0,1.0,6.123233995736766e-17,0.6433365204044917,-0.765583517007675,0,0,0,0,0,0.78083605,NORMAL
2018-05-23,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.6,26.5,85.0,0.0,10.5,3.0,2.0,9.6,6.6000000000000005,10.0,-4.4,-3.0,-0.984807753012208,-0.1736481776669303,0.6300720909843687,-0.7765366444428655,0,0,0,0,0,0.74352324,NORMAL
2018-05-24,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.2,26.3,87.0,0.0,6.7,3.0,1.0,7.199999999999999,4.4,10.0,0.0,0.0,-0.9396926207859084,-0.3420201433256685,0.6166212130956382,-0.7872599821916922,0,0,0,0,0,0.7353764,NORMAL
2018-05-25,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,31.8,26.9,83.0,10.0,4.2,2.0,1.0,9.8,10.0,16.6,10.0,-1.0,-0.8660254037844386,0.5000000000000001,0.6029878670694714,-0.7977503570459932,0,0,0,0,0,0.75340927,NORMAL
2018-05-26,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,29.6,26.4,84.0,4.8,5.5,3.0,1.0,6.600000000000001,14.8,21.4,-5.2,1.0,-1.0,-1.8369701987210294e-16,0.5891760872322963,-0.8080046647350754,0,0,0,0,0,0.7621968,NORMAL
2018-05-27,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,31.2,26.6,79.0,0.0,3.8,4.0,1.0,8.2,14.8,21.4,-4.8,1.0,-0.984807753012208,0.1736481776669299,0.5751899607119775,-0.8180198708443175,0,0,0,0,0,0.77184045,NORMAL
2018-05-28,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,30.5,25.8,84.0,0.0,7.1,3.0,2.0,7.5,4.8,19.200000000000003,0.0,-1.0,-1.0,-1.8369701987210294e-16,0.5610336262283677,-0.8277930117131022,0,0,0,0,0,0.79424995,NORMAL
2018-05-29,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,31.4,25.6,82.0,0.0,9.1,4.0,2.0,9.4,0.0,14.8,0.0,1.0,-0.984807753012208,-0.1736481776669303,0.5467112728685939,-0.8373211953118121,0,0,0,0,0,0.8079577,NORMAL
2018-05-30,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,30.4,25.4,81.0,0.0,7.7,4.0,2.0,9.4,0.0,14.8,0.0,0.0,-1.0,-1.8369701987210294e-16,0.5322271388474397,-0.8466016020976267,0,0,0,0,0,0.8071395,NORMAL
