date,station_id,station_name,region_name,province_name,RR,rain_3d,rain_7d,ff_x,ff_avg,experiment_id,sequence_length,feature_group,anomaly_score,status,alert_type,triggers,threshold_p95,threshold_p99,threshold_p995
2019-01-07,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,41.3,75.5,113.89999999999996,5.0,2.0,wind_30d,30,wind_only,3.8608625,AWAS,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,Anomaly score above AWAS threshold; Rainfall above local percentile threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-01-16,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,18.6,19.30000000000001,53.09999999999998,2.0,1.0,wind_30d,30,wind_only,3.8038666,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2019-01-06,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,8.0,56.6,87.59999999999997,4.0,1.0,wind_30d,30,wind_only,3.802667,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-01-19,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,0.4000000000000142,19.69999999999997,4.0,2.0,wind_30d,30,wind_only,3.7819028,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2019-01-05,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,26.2,61.0,87.09999999999997,3.0,1.0,wind_30d,30,wind_only,3.7797308,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-01-17,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.4,19.00000000000001,34.39999999999997,3.0,1.0,wind_30d,30,wind_only,3.7728732,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-01-05,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,3.0,62.90000000000002,136.5,4.0,1.0,wind_30d,30,wind_only,3.7563665,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2019-01-04,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.4,38.4,60.89999999999997,4.0,2.0,wind_30d,30,wind_only,3.754511,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2019-01-03,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,12.4,16.0,38.49999999999997,7.0,3.0,wind_30d,30,wind_only,3.7447069,SIAGA,ANGIN_KENCANG,Anomaly score above SIAGA threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-12-23,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,0.0,67.69999999999995,5.0,2.0,all_30d,30,all_features,26.30319,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,7.936511349678039,15.646812391281129,16.167157440185548
2020-12-22,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,5.600000000000028,67.69999999999995,6.0,3.0,all_30d,30,all_features,26.295818,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,7.936511349678039,15.646812391281129,16.167157440185548
2020-12-24,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,0.0,67.39999999999995,5.0,2.0,all_30d,30,all_features,26.141699,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,7.936511349678039,15.646812391281129,16.167157440185548
2020-12-28,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,4.1,30.900000000000027,30.89999999999994,5.0,3.0,all_30d,30,all_features,26.126518,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,7.936511349678039,15.646812391281129,16.167157440185548
2020-12-26,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,7.6,7.600000000000028,13.199999999999942,3.0,1.0,all_30d,30,all_features,26.112455,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,7.936511349678039,15.646812391281129,16.167157440185548
